================================================================================
WebSocket Connection Log
Connection ID: keep_alive_869cb4a775e4
Connection Type: keep_alive
User: ATIVOS Client 1
Created: 2026-03-03T14:41:49.252972
Log File: ATIVOS_Client_1_keep_alive_keep_alive_869cb4a775e4_20260303_144149.log
================================================================================

[2026-03-03T14:41:49.254966] [INIT] Iniciando estabelecimento de conexão
  Data: {"ssid_preview": "42[\"auth\",{\"session\":\"9jq0qg4a", "is_demo": true, "user_name": "ATIVOS Client 1", "urls_available": 2}
[2026-03-03T14:41:50.139617] [CONNECTED] Conexão estabelecida em DEMO-EU
[2026-03-03T14:41:53.816333] [RECV] Mensagem recebida (38 bytes): [["NZDUSD_otc",1772566913.312,0.5867]]
[2026-03-03T14:41:53.816840] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:53.817835] [RECV] Mensagem recebida (39 bytes): [["USDCAD_otc",1772566913.312,1.36884]]
[2026-03-03T14:41:53.817835] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:53.819066] [RECV] Mensagem recebida (39 bytes): [["USDJPY_otc",1772566913.312,159.584]]
[2026-03-03T14:41:53.900771] [RECV] Mensagem recebida (58 bytes): 451-["updateHistoryNewFast",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:53.913302] [RECV] Mensagem recebida (37371 bytes): {"asset":"USDRUB_otc","period":1,"history":[[1772566179.703,74.9113],[1772566180.1,74.9113],[1772566180.702,74.9111],[1772566181.202,74.9113],[1772566181.703,74.9112],[1772566182.219,74.9111],[1772566...
[2026-03-03T14:41:54.106863] [RECV] Mensagem recebida (58 bytes): 451-["updateHistoryNewFast",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:54.119422] [RECV] Mensagem recebida (38994 bytes): {"asset":"EURRUB_otc","period":1,"history":[[1772566177.1,85.27092],[1772566177.7,85.27101],[1772566178.202,85.27118],[1772566178.703,85.27122],[1772566179.202,85.27122],[1772566179.703,85.27133],[177...
[2026-03-03T14:41:54.247840] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:54.296444] [RECV] Mensagem recebida (39 bytes): [["AUDCHF_otc",1772566913.812,0.49278]]
[2026-03-03T14:41:54.298500] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:54.299487] [RECV] Mensagem recebida (39 bytes): [["CADCHF_otc",1772566913.812,0.61503]]
[2026-03-03T14:41:54.300561] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:54.300561] [RECV] Mensagem recebida (39 bytes): [["CADJPY_otc",1772566913.812,115.456]]
